1/3,90s,A-xA,Aerial Duels_Lost,Aerial Duels_Won,Aerial Duels_Won%,Age,Ast,Att,Blocks_Blocks,Blocks_Pass,Blocks_Sh,Blocks_ShSv,Body Parts_Head,Body Parts_Left,Body Parts_Other,Body Parts_Right,Body Parts_TI,Carries_Carries,Carries_PrgDist,Carries_TotDist,Clr,Comp,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Country,CrsPA,Dispos,Dribbles_#Pl,Dribbles_Att,Dribbles_Megs,Dribbles_Succ,Dribbles_Succ%,Err,Expected_G-xG,Expected_np:G-xG,Expected_npxG,Expected_npxG/Sh,Expected_xA,Expected_xG,GCA Types_Def,GCA Types_Drib,GCA Types_Fld,GCA Types_OG,GCA Types_PassDead,GCA Types_PassLive,GCA Types_Sh,GCA_GCA,GCA_GCA90,Height_Ground,Height_High,Height_Low,ID,Int,KP,LgRank,Long_Att,Long_Cmp,Long_Cmp%,Matches,Medium_Att,Medium_Cmp,Medium_Cmp%,Miscon,Outcomes_Blocks,Outcomes_Cmp,Outcomes_Int,Outcomes_Off,Outcomes_Out,PPA,Pass Types_CK,Pass Types_Crs,Pass Types_Dead,Pass Types_FK,Pass Types_Live,Pass Types_Press,Pass Types_Sw,Pass Types_TB,Penalty Kicks_PKA,Penalty Kicks_PKatt,Penalty Kicks_PKm,Penalty Kicks_PKsv,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G+A-PK,Per 90 Minutes_G-PK,Per 90 Minutes_Gls,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,Per 90 Minutes_xA,Per 90 Minutes_xG,Per 90 Minutes_xG+xA,Performance_2CrdY,Performance_Ast,Performance_CS,Performance_CS%,Performance_CrdR,Performance_CrdY,Performance_Crs,Performance_D,Performance_Fld,Performance_Fls,Performance_GA,Performance_GA90,Performance_Gls,Performance_Int,Performance_L,Performance_OG,Performance_Off,Performance_PK,Performance_PKatt,Performance_PKcon,Performance_PKwon,Performance_Recov,Performance_Save%,Performance_Saves,Performance_SoTA,Performance_TklW,Performance_W,Playing Time_90s,Playing Time_MP,Playing Time_Min,Playing Time_Min%,Playing Time_Mn/MP,Playing Time_Starts,Pressures_%,Pressures_Att 3rd,Pressures_Def 3rd,Pressures_Mid 3rd,Pressures_Press,Pressures_Succ,Prog,Receiving_Rec,Receiving_Rec%,Receiving_Targ,SCA Types_Def,SCA Types_Drib,SCA Types_Fld,SCA Types_PassDead,SCA Types_PassLive,SCA Types_Sh,SCA_SCA,SCA_SCA90,Season,Short_Att,Short_Cmp,Short_Cmp%,Squad,Standard_Dist,Standard_FK,Standard_G/Sh,Standard_G/SoT,Standard_Gls,Standard_PK,Standard_PKatt,Standard_Sh,Standard_Sh/90,Standard_SoT,Standard_SoT%,Standard_SoT/90,Starts_Compl,Starts_Mn/Start,Starts_Starts,Subs_Mn/Sub,Subs_Subs,Subs_unSub,Tackles_Att 3rd,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Tkl,Tackles_TklW,Team Success (xG)_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success_PPM,Team Success_onG,Team Success_onGA,Tkl+Int,Total_Att,Total_Cmp,Total_Cmp%,Total_PrgDist,Total_TotDist,Touches_Att 3rd,Touches_Att Pen,Touches_Def 3rd,Touches_Def Pen,Touches_Live,Touches_Mid 3rd,Touches_Touches,Vs Dribbles_Att,Vs Dribbles_Past,Vs Dribbles_Tkl,Vs Dribbles_Tkl%,age,birth_date,height,name,position,weight,xA
0,0.1,0.0,0,0,,19,0,3,0,0,0,0,1,0,0,2,0,4,28,64,0,1. MLS,0,0,0,us USA,0,1,0,0,0,0,,0,,,0.0,,0.0,0.0,0,0,0,0,0,0,0,0,0.0,2,1,0,2019_Georges Mukumbilwa_Vancouver,0,0,23rd,0,0,,Matches,3,1,33.3,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0,0,1,,0,0,,,0.0,0,,0,0,0.0,0.0,0,0,2,,,,0,,0.1,1,10.0,0.3,10.0,0,0.0,0,0,1,1,0,0,3,75.0,4,0,0,0,0,0,0,0,0.0,2019,0,0,,Vancouver,,,,,,,,,,,,,0,,0,9.0,1,0,0,0,0,0,0,0.11,0.0,0.1,-0.1,-0.65,0.0,0.0,0.65,0.0,0.0,0.0,0,3,1,33.3,0,16,3,0,0,0,5,2,5,0,0,0,,21,1999-09-23 00:00:00,,Georges Mukumbilwa,MF,,0.0
,1.0,,,,,25,0,,,,,,,,,,,,,,,2. USL Champ,,,,us USA,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jordy Delem_Tacoma,3,,33rd,,,,Matches,,,,,,,,,,,,0,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,0,0,,,0,0,0,,2,2,,,0,3,,0,0,0,0,0,0,,,,,2,,1.0,1,90,2.9,90,1,,,,,,,,,,,,,,,,,,,2019,,,,Tacoma,,,0.00,,0,0,0,1,1.00,0,0.0,0.00,1,90,1,,0,0,,,,,2,,,,,,+1,+1.00,+2.24,3.00,2,1,0,,,,,,,,,,,,,,,,,27,1993-03-18 00:00:00,180cm,Jordy Delem,MF (AM),71kg,
74,16.0,0.0,15,29,65.9,25,0,680,44,28,16,0,50,75,3,532,4,524,1098,2484,41,1. MLS,0,0,0,us USA,0,11,13,18,1,13,72.2,0,-0.4,-0.4,0.4,0.06,0.0,0.4,0,0,0,0,0,1,0,1,0.06,496,100,84,2019_Jordy Delem_Seattle,15,2,4th,99,74,74.7,Matches,308,268,87.0,6,11,570,12,0,9,1,0,0,20,16,660,112,15,0,,,,,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.03,0,0,,,0,4,0,,22,26,,,0,15,,0,0,0,0,1,0,192,,,,21,,16.0,23,1437,47.0,62,17,23.9,7,141,86,234,56,51,498,94.9,525,0,0,0,0,12,0,12,0.75,2019,260,223,85.8,Seattle,16.8,0,0.00,,0,0,0,7,0.44,0,0.0,0.00,10,81,17,10,6,10,1,19,9,29,21,-0.78,16.6,22.1,-5.5,-0.35,-3,-0.19,-0.52,1.74,18,21,44,680,570,83.8,3407,10844,86,7,279,58,829,519,842,21,15,6,28.6,27,1993-03-18 00:00:00,180cm,Jordy Delem,MF (AM),71kg,0.0
25,8.9,0.0,12,18,60.0,18,0,312,13,7,6,0,16,263,0,23,5,235,829,1335,52,1. MLS,0,0,0,us USA,0,0,2,3,0,2,66.7,1,-0.1,-0.1,0.1,0.07,0.0,0.1,0,0,0,0,0,0,0,0,0.0,239,41,32,2019_Aboubacar Keita_Columbus,2,0,20th,87,68,78.2,Matches,168,149,88.7,3,2,264,4,0,11,1,0,1,15,10,297,21,6,0,,,,,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0,0,,,0,0,1,,6,6,,,0,2,,0,0,0,0,0,0,54,,,,8,,8.9,10,802,26.2,80,8,38.3,7,37,16,60,23,15,246,97.2,253,0,0,0,0,1,0,1,0.11,2019,56,46,82.1,Columbus,7.5,0,0.0,,0,0,0,2,0.22,0,0.0,0.0,7,88,8,48,2,4,1,8,4,13,8,0.04,11.4,12.3,-0.9,-0.1,4,0.45,0.93,1.6,15,11,15,312,264,84.6,2338,6384,13,4,233,52,383,174,397,3,1,2,66.7,20,2000-04-06 00:00:00,185cm,Aboubacar Keita,DF,,0.0
86,14.7,-0.7,27,34,55.7,21,1,939,20,18,2,0,30,120,2,769,3,821,2719,4631,29,1. MLS,0,0,0,us USA,1,20,19,27,1,17,63.0,0,-1.0,-1.0,2.0,0.10,1.7,2.0,0,0,0,0,0,2,0,2,0.14,738,105,96,2019_Keaton Parks_NYCFC,7,18,2nd,138,103,74.6,Matches,393,359,91.3,22,15,816,17,4,14,14,0,10,17,14,922,135,25,7,,,,,0.07,0.14,0.14,0.07,0.07,0.14,0.26,0.12,0.14,0.26,0,1,,,0,3,10,,17,28,,,1,7,,0,2,0,0,0,0,132,,,,30,,14.7,22,1322,43.2,60,14,27.8,48,98,156,302,84,108,859,92.3,931,1,3,3,0,30,3,40,2.73,2019,383,348,90.9,NYCFC,15.7,0,0.05,0.08,1,0,0,20,1.36,12,60.0,0.82,11,87,14,14,8,7,5,16,21,42,30,+0.72,27.1,18.0,+9.1,+0.62,+14,+0.95,+0.59,2.00,32,18,49,939,816,86.9,4679,15531,222,41,297,30,1111,694,1125,46,31,15,32.6,23,1997-08-06 00:00:00,,Keaton Parks,MF,,1.7
18,17.3,-0.1,40,17,29.8,30,2,416,9,7,2,0,30,29,8,336,2,388,717,1833,5,1. MLS,0,0,0,us USA,0,23,13,19,1,12,63.2,0,-2.1,-1.4,9.4,0.18,2.1,10.1,0,1,1,1,0,4,1,8,0.46,277,52,87,2019_Krisztián Németh_Sporting KC,2,21,21st,36,27,75.0,Matches,122,95,77.9,40,14,330,12,1,6,12,0,6,53,0,363,92,7,2,,,,,0.12,0.58,0.58,0.46,0.46,0.54,0.66,0.12,0.58,0.71,0,2,,,1,5,6,,28,30,,,8,2,,0,13,0,1,0,1,57,,,,7,,17.3,24,1559,50.9,65,18,20.1,209,15,145,369,74,26,450,58.1,775,0,2,5,0,34,8,50,2.89,2019,230,195,84.8,Sporting KC,12.6,0,0.16,0.47,8,0,1,51,2.94,17,33.3,0.98,11,79,18,22,6,3,4,2,4,10,7,+0.27,30.4,24.7,+5.7,+0.33,-10,-0.58,-0.10,0.92,27,37,12,416,330,79.3,675,4932,350,110,34,6,551,246,605,7,6,1,14.3,31,1989-01-05 00:00:00,179cm,Krisztián Németh,FW,72kg,2.1
,8.3,,,,,20,0,,,,,,,,,,,,,,,2. USL Champ,,,,us USA,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Thomas McCabe_N Carolina,4,,10th,,,,Matches,,,,,,,,,,,,0,,,,,,,,,,,0.00,0.24,0.24,0.24,0.24,,,,,,0,0,,,0,0,0,,3,7,,,2,4,,0,0,0,0,0,0,,,,,13,,8.3,9,743,24.3,83,8,,,,,,,,,,,,,,,,,,,2019,,,,N Carolina,,,0.50,1.00,2,0,0,4,0.48,2,50.0,0.24,8,90,8,22,1,1,,,,,13,,,,,,+6,+0.73,+0.18,1.67,13,7,0,,,,,,,,,,,,,,,,,22,1998-04-04 00:00:00,,Thomas McCabe,MF,,
10,2.7,0.0,3,4,57.1,20,0,133,4,2,2,0,3,20,0,107,0,109,180,469,9,1. MLS,0,0,0,us USA,0,1,1,1,0,1,100.0,0,-0.1,-0.1,0.1,0.09,0.0,0.1,0,0,0,0,0,0,0,0,0.00,97,19,17,2019_Thomas McCabe_FC Cincinnati,2,0,24th,22,16,72.7,Matches,63,62,98.4,1,1,118,3,0,0,0,0,0,0,0,133,20,3,0,,,,,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.03,0,0,,,0,0,0,,0,1,,,0,2,,0,0,0,0,0,0,27,,,,4,,2.7,6,247,8.1,41,2,16.1,4,42,41,87,14,11,106,90.6,117,0,0,0,0,2,0,2,0.73,2019,46,40,87.0,FC Cincinnati,18.7,0,0.00,,0,0,0,1,0.36,0,0.0,0.00,2,92,2,16,4,8,1,3,4,8,4,-0.03,2.7,4.9,-2.2,-0.80,-7,-2.55,-1.37,0.50,2,9,10,133,118,88.7,605,2394,12,1,68,13,161,88,161,4,3,1,25.0,22,1998-04-04 00:00:00,,Thomas McCabe,MF,,0.0
70,23.4,+1.0,13,18,58.1,30,2,916,28,27,1,0,55,35,3,808,5,819,2736,5669,45,1. MLS,0,0,0,us USA,1,22,37,49,3,35,71.4,0,-0.7,-0.7,0.7,0.07,1.0,0.7,0,1,0,0,0,2,0,3,0.13,682,114,120,2019_Everton Luiz_Real Salt Lake,21,13,6th,108,82,75.9,Matches,424,383,90.3,21,13,794,16,2,18,9,0,5,39,30,877,139,18,1,,,,,0.09,0.09,0.09,0.00,0.00,0.03,0.07,0.04,0.03,0.07,0,2,,,0,8,5,,39,41,,,0,21,,0,2,0,0,0,0,211,,,,39,,23.4,27,2107,68.9,78,24,22.3,54,155,271,480,107,54,734,89.5,820,1,1,3,0,28,2,35,1.50,2019,361,318,88.1,Real Salt Lake,17.9,0,0.00,0.00,0,0,0,9,0.38,2,22.2,0.09,22,86,24,12,3,2,4,33,31,68,39,-0.14,23.4,27.1,-3.7,-0.16,+3,+0.13,-0.06,1.62,30,27,89,916,794,86.7,3335,14637,221,14,283,52,1130,768,1162,81,56,25,30.9,32,1988-05-24 00:00:00,175cm,Everton Luiz,"DF-MF (FB, right)",,1.0
24,4.4,+0.5,1,0,0.0,28,2,257,4,4,0,0,5,22,3,224,3,220,392,877,2,1. MLS,4,6,3,us USA,2,5,7,8,0,7,87.5,0,-0.1,-0.1,0.1,0.03,1.5,0.1,0,0,0,0,2,0,0,2,0.46,172,57,28,2019_Mauricio Pereyra_Orlando City,4,14,22nd,55,30,54.5,Matches,93,77,82.8,11,4,197,6,2,4,13,16,2,24,5,233,48,8,2,,,,,0.46,0.46,0.46,0.00,0.00,0.02,0.36,0.34,0.02,0.36,0,2,,,0,1,2,,5,9,,,0,4,,0,0,0,0,0,0,22,,,,9,,4.4,6,392,12.8,65,5,20.5,20,21,47,88,18,30,226,88.3,256,0,0,0,5,15,1,21,4.82,2019,101,86,85.1,Orlando City,26.8,0,0.00,0.00,0,0,0,3,0.69,1,33.3,0.23,2,69,5,45,1,0,1,6,5,12,9,+0.44,6.8,5.0,+1.8,+0.41,-5,-1.15,-1.05,0.50,6,11,16,257,197,76.7,1261,3778,114,6,47,3,272,145,295,6,4,2,33.3,30,1990-03-15 00:00:00,165cm,Mauricio Pereyra,MF (AM),63kg,1.5
22,19.8,+0.8,25,22,46.8,31,3,657,12,11,1,0,35,426,2,162,14,678,2734,4779,6,1. MLS,9,0,0,us USA,11,36,42,59,2,36,61.0,0,-1.3,-1.3,2.3,0.08,2.2,2.3,0,1,2,0,0,4,1,8,0.40,419,134,104,2019_Roland Lamah_FC Cincinnati,11,23,24th,121,69,57.0,Matches,228,170,74.6,46,17,481,21,1,14,31,10,48,32,1,625,137,31,4,,,,,0.15,0.20,0.20,0.05,0.05,0.12,0.23,0.11,0.12,0.23,0,3,,,1,0,48,,31,14,,,1,11,,0,7,0,0,0,3,130,,,,11,,19.8,28,1778,58.1,64,22,23.6,64,72,173,309,73,54,647,71.3,908,2,3,8,3,35,4,55,2.78,2019,287,237,82.6,FC Cincinnati,20.9,0,0.03,0.09,1,0,0,30,1.52,11,36.7,0.56,9,75,22,21,6,0,3,4,8,15,11,+0.61,21.3,31.6,-10.2,-0.52,-21,-1.06,+0.55,0.54,20,41,26,657,481,73.2,2241,8759,418,71,114,12,837,410,868,27,20,7,25.9,,,180cm,Roland Lamah,"FW-MF (WM, left)",71kg,2.2
66,29.0,+0.8,20,37,64.9,28,1,1241,45,25,20,0,41,102,7,1074,2,944,4516,6938,127,1. MLS,0,0,0,us USA,1,5,5,6,0,5,83.3,0,-0.3,-0.3,0.3,0.12,0.2,0.3,0,0,0,0,0,2,1,3,0.10,1009,138,94,2019_Aljaž Struna_Houston,9,6,19th,286,215,75.2,Matches,671,629,93.7,4,5,1109,17,1,7,1,0,2,81,79,1160,140,27,0,,,,,0.03,0.03,0.03,0.00,0.00,0.01,0.02,0.01,0.01,0.02,0,1,,,0,4,2,,11,27,,,0,9,,0,0,0,0,1,0,194,,,,19,,29.0,29,2610,85.3,90,29,29.4,2,119,42,163,48,79,972,98.7,985,0,0,0,0,9,1,10,0.34,2019,276,260,94.2,Houston,8.7,0,0.00,,0,0,0,3,0.10,0,0.0,0.00,29,90,29,,0,0,0,15,9,24,19,-0.07,42.1,45.2,-3.0,-0.11,-9,-0.31,-0.11,1.24,44,53,33,1241,1109,89.4,8685,24653,25,9,867,177,1382,700,1455,24,16,8,33.3,30,1990-08-04 00:00:00,189cm,Aljaž Struna,"DF-MF (CB-DM-FB, right)",83kg,0.2
36,18.7,-0.1,13,22,62.9,27,2,771,37,31,6,0,27,461,8,130,141,562,1867,2693,82,1. MLS,0,0,0,us USA,10,17,15,22,0,12,54.5,3,+0.2,+0.2,0.8,0.14,2.1,0.8,0,0,0,0,0,2,0,2,0.11,475,112,184,2019_Jørgen Skjelvik_LA Galaxy,12,17,8th,77,37,48.1,Matches,337,282,83.7,13,22,631,8,0,13,17,0,40,146,5,625,86,10,0,,,,,0.11,0.16,0.16,0.05,0.05,0.05,0.16,0.11,0.05,0.16,0,2,,,0,4,40,,7,26,,,1,12,,1,1,0,0,2,0,124,,,,14,,18.7,20,1681,54.9,84,19,23.7,30,147,72,249,59,49,545,89.9,606,0,1,0,1,28,0,30,1.61,2019,336,308,91.7,LA Galaxy,10.0,0,0.17,1.00,1,0,0,6,0.32,1,16.7,0.05,17,88,19,18,1,9,0,15,12,27,14,-0.58,27.0,35.3,-8.3,-0.44,+2,+0.11,+0.30,1.50,31,29,39,771,631,81.8,4206,10595,321,37,329,78,852,394,995,44,28,16,36.4,29,1991-07-05 00:00:00,183cm,Jørgen Skjelvik,"DF-MF (CB-WM, left)",77kg,2.1
2,1.1,0.0,0,2,100.0,20,0,22,4,4,0,0,1,0,1,18,0,20,54,115,0,1. MLS,0,0,0,us USA,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.02,0.0,0.0,0,0,0,0,0,0,0,0,0.00,17,5,0,2019_Felipe Hernandez_Sporting KC,2,0,21st,0,0,,Matches,13,10,76.9,0,1,18,0,0,1,0,0,1,0,0,22,6,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,0.02,0,0,,,0,0,1,,2,3,,,0,2,,0,0,0,0,0,0,9,,,,0,,1.1,2,96,3.1,48,1,17.4,10,6,7,23,4,2,17,68.0,25,0,0,0,0,0,0,0,0.00,2019,8,8,100.0,Sporting KC,23.3,0,0.00,,0,0,0,1,0.94,0,0.0,0.00,1,91,1,5,1,0,0,0,1,1,0,-3.08,0.5,3.5,-3.0,-2.79,-7,-6.56,-6.23,0.00,0,7,3,22,18,81.8,96,272,15,1,4,0,31,13,31,3,2,1,33.3,22,1998-06-08 00:00:00,,Felipe Hernandez,MF,,0.0
,28.5,,,,,20,5,,,,,,,,,,,,,,,2. USL Champ,,,,us USA,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Felipe Hernandez_Swope Park,35,,36th,,,,Matches,,,,,,,,,,,,69,,,,,,,,,,,0.18,0.46,0.46,0.28,0.28,,,,,,0,5,,,1,6,69,,47,29,,,8,35,,0,1,0,0,0,1,,,,,29,,28.5,30,2564,83.8,85,28,,,,,,,,,,,,,,,,,,,2019,,,,Swope Park,,,0.14,0.36,8,0,0,56,1.97,22,39.3,0.77,25,89,28,32,2,1,,,,,29,,,,,,-26,-0.91,+0.54,0.80,39,65,0,,,,,,,,,,,,,,,,,22,1998-06-08 00:00:00,,Felipe Hernandez,MF,,
23,8.7,-0.1,9,7,43.8,25,1,341,10,7,3,0,19,51,2,260,4,319,1053,2057,9,1. MLS,0,0,0,us USA,3,17,6,11,0,6,54.5,1,+1.1,+1.1,1.9,0.11,1.1,1.9,0,0,0,0,0,2,1,3,0.35,242,46,53,2019_Fabian Herbers_Chicago,2,14,17th,29,20,69.0,Matches,130,114,87.7,11,12,281,7,1,4,10,1,17,11,4,330,67,6,0,,,,,0.12,0.46,0.46,0.35,0.35,0.21,0.34,0.12,0.21,0.34,0,1,,,0,3,17,,11,17,,,3,2,,0,0,0,0,0,0,54,,,,14,,8.7,17,780,25.5,46,7,28.8,47,28,85,160,46,23,324,86.9,373,0,0,1,1,24,3,29,3.35,2019,166,145,87.3,Chicago,13.2,0,0.17,0.50,3,0,0,18,2.08,6,33.3,0.69,2,79,7,23,10,6,2,4,12,18,14,-0.15,15.3,14.1,+1.3,+0.14,+4,+0.46,+0.30,0.82,19,15,20,341,281,82.4,1010,4710,220,46,57,13,431,195,442,11,11,0,0.0,27,1993-08-17 00:00:00,,Fabian Herbers,FW-MF,,1.1
90,12.5,+0.5,8,5,38.5,34,3,826,10,10,0,0,18,77,11,710,6,667,1239,3850,4,1. MLS,21,12,6,us USA,1,10,29,41,0,29,70.7,0,-1.1,-0.3,1.3,0.07,2.5,2.1,0,0,0,0,2,6,0,8,0.64,515,168,143,2019_Federico Higuaín_Columbus,2,28,20th,203,117,57.6,Matches,277,235,84.8,26,12,644,12,5,11,17,42,17,98,29,728,104,44,7,,,,,0.24,0.32,0.32,0.08,0.08,0.11,0.31,0.20,0.17,0.37,0,3,,,0,2,17,,14,3,,,1,2,,0,4,0,1,0,0,87,,,,6,,12.5,14,1129,36.9,81,13,23.8,69,22,90,181,43,91,715,82.5,867,1,4,1,12,31,1,50,3.99,2019,327,286,87.5,Columbus,20.8,2,0.05,0.20,1,0,1,19,1.51,5,26.3,0.40,8,83,13,45,1,0,2,2,3,7,6,+0.01,12.5,14.1,-1.6,-0.13,-4,-0.32,-0.13,1.14,13,17,9,826,644,78.0,4008,12728,350,29,79,1,831,553,925,23,20,3,13.0,36,1984-10-25 00:00:00,172cm,Federico Higuaín,FW-MF (AM),74kg,2.5
6,5.1,-0.1,4,3,42.9,26,0,142,7,7,0,0,3,12,2,122,2,173,848,1481,3,1. MLS,0,0,0,us USA,1,9,9,15,0,8,53.3,0,-0.6,-0.6,0.6,0.05,0.1,0.6,0,0,0,0,0,1,1,2,0.39,109,15,18,2019_Joe Gyau_FC Cincinnati,0,3,24th,5,4,80.0,Matches,56,45,80.4,14,4,118,4,1,2,2,0,7,3,0,139,32,0,1,,,,,0.00,0.00,0.00,0.00,0.00,0.11,0.12,0.01,0.11,0.12,0,0,,,1,0,7,,10,14,,,0,0,,0,1,0,0,0,0,31,,,,5,,5.1,8,461,15.1,58,5,25.9,29,31,48,108,28,9,157,71.0,221,0,1,1,0,6,1,9,1.76,2019,74,67,90.5,FC Cincinnati,20.8,0,0.00,0.00,0,0,0,12,2.34,5,41.7,0.98,3,77,5,25,3,1,1,4,4,9,5,+0.18,5.6,8.7,-3.2,-0.62,-6,-1.17,+0.14,0.88,3,9,9,142,118,83.1,328,1696,108,17,36,6,211,97,214,8,4,4,50.0,28,1992-09-16 00:00:00,175cm,Joe Gyau,"FW-MF (WM, right)",75kg,0.1
0,0.1,0.0,0,0,,30,0,12,0,0,0,0,0,2,0,10,0,12,15,62,0,1. MLS,0,0,0,us USA,0,0,0,0,0,0,,0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0,0,0.00,10,0,2,2019_Vitor Junior_LA Galaxy,0,0,8th,0,0,,Matches,8,7,87.5,0,0,11,0,0,0,0,0,0,0,0,12,0,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,,,,0,,0.1,2,9,0.3,5,0,0.0,0,1,2,3,0,0,12,85.7,14,0,0,0,0,0,0,0,0.00,2019,3,3,100.0,LA Galaxy,,0,,,0,0,0,0,0.00,0,,0.00,0,,0,4,2,7,0,0,0,0,0,+1.89,0.3,0.1,+0.2,+1.70,0,0.00,+0.03,1.50,0,0,0,12,11,91.7,8,174,5,0,0,0,13,8,13,1,1,0,0.0,,,168cm,Vitor Junior,MF (CM),,0.0
,2.0,,,,,30,1,,,,,,,,,,,,,,,2. USL Champ,,,,us USA,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Vitor Junior_LA Galaxy II,0,,17th,,,,Matches,,,,,,,,,,,,17,,,,,,,,,,,0.50,0.50,0.50,0.00,0.00,,,,,,0,1,,,0,0,17,,2,4,,,0,0,,0,0,0,1,0,0,,,,,1,,2.0,2,180,5.9,90,2,,,,,,,,,,,,,,,,,,,2019,,,,LA Galaxy II,,,0.00,0.00,0,0,1,7,3.50,4,57.1,2.00,2,90,2,,0,0,,,,,1,,,,,,0,0.00,+0.09,1.00,4,4,0,,,,,,,,,,,,,,,,,,,168cm,Vitor Junior,MF (CM),,
119,25.7,-0.7,26,8,23.5,23,2,1036,41,39,2,0,6,906,3,101,15,1103,3118,6097,8,1. MLS,9,3,0,us USA,6,53,43,76,5,41,53.9,0,+1.6,+1.6,3.4,0.06,2.7,3.4,0,2,0,0,1,10,0,13,0.51,747,153,136,2019_Tomás Martínez_Houston,11,35,19th,181,106,58.6,Matches,412,353,85.7,53,31,834,31,5,21,33,15,24,49,16,987,212,38,8,,,,,0.08,0.27,0.27,0.19,0.19,0.13,0.24,0.10,0.13,0.24,0,2,,,0,2,24,,43,46,,,5,11,,0,3,0,0,0,1,196,,,,40,,25.7,33,2313,75.6,70,30,23.6,195,143,373,711,168,110,995,82.4,1207,3,10,6,3,69,6,97,3.77,2019,407,364,89.4,Houston,20.8,2,0.09,0.50,5,0,0,53,2.06,10,18.9,0.39,8,75,30,18,3,1,19,24,24,67,40,-0.05,33.0,35.7,-2.7,-0.11,-7,-0.27,+0.09,1.21,33,40,78,1036,834,80.5,4303,15761,624,64,174,10,1351,713,1396,97,67,30,30.9,25,1995-03-07 00:00:00,171cm,Tomás Martínez,MF (AM),60kg,2.7
,1.0,,,,,32,0,,,,,,,,,,,,,,,2. USL Champ,,,,us USA,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Roger Espinoza_Swope Park,3,,36th,,,,Matches,,,,,,,,,,,,2,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,0,0,,,0,0,2,,1,3,,,0,3,,0,1,0,0,0,0,,,,,1,,1.0,1,90,2.9,90,1,,,,,,,,,,,,,,,,,,,2019,,,,Swope Park,,,,,0,0,0,0,0.00,0,,0.00,1,90,1,,0,0,,,,,1,,,,,,-2,-2.00,-1.03,0.00,0,2,0,,,,,,,,,,,,,,,,,34,1986-10-25 00:00:00,181cm,Roger Espinoza,"DF-MF (CM-DM-FB-WM, right)",66kg,
58,12.7,-0.4,19,27,58.7,32,1,528,9,8,1,0,37,382,3,81,1,458,1150,2410,9,1. MLS,0,1,0,us USA,2,7,14,19,1,13,68.4,0,-1.1,-1.1,1.1,0.07,1.4,1.1,0,0,0,0,0,3,0,3,0.24,290,126,112,2019_Roger Espinoza_Sporting KC,6,20,21st,97,61,62.9,Matches,217,172,79.3,18,16,396,14,0,17,11,1,15,10,6,518,122,18,2,,,,,0.08,0.08,0.08,0.00,0.00,0.09,0.20,0.11,0.09,0.20,1,1,,,3,5,15,,22,28,,,0,6,,0,1,0,0,0,0,130,,,,25,,12.7,16,1140,37.3,71,15,25.2,71,77,150,298,75,50,446,83.1,537,2,1,3,1,32,0,39,3.08,2019,193,154,79.8,Sporting KC,22.3,0,0.00,0.00,0,0,0,15,1.18,6,40.0,0.47,4,74,15,25,1,0,10,11,13,34,25,-0.10,20.7,19.1,+1.7,+0.13,-5,-0.39,+0.21,0.94,15,20,40,528,396,75.0,2072,7712,243,35,104,15,648,354,656,22,16,6,27.3,34,1986-10-25 00:00:00,181cm,Roger Espinoza,"DF-MF (CM-DM-FB-WM, right)",66kg,1.4
