ID,name,Age,position,Squad,12. MP_Pct,11. Aerial Duels_Won%_Pct,10. TklW90_Pct,9. Blocks90_Pct,8. Passing%_Pct,6. TB90_Pct,7. Crs90_Pct,5. Dribbles_Succ%_Pct,3. SCA90_Pct,2. GCA90_Pct,4. Ast90_Pct,1. Gls90_Pct
2019_Caleb Stanko_FC Cincinnati,Caleb Stanko,25,MF,FC Cincinnati,0.6977211796246648,0.6269565217391304,0.7622950819672131,0.28098471986417656,0.7639123102866779,0.22874149659863946,0.3198630136986301,0.2933212996389892,0.32521008403361346,0.1495798319327731,0.24629878869448182,0.2479892761394102
2019_Shaft Brewer_Los Angeles FC,Shaft Brewer,19,FW,Los Angeles FC,0.036193029490616625,,0.0389344262295082,0.8073005093378608,0.9055649241146712,0.22874149659863946,0.536986301369863,0.20487364620938628,0.03529411764705882,0.1495798319327731,0.24629878869448182,0.2479892761394102
2019_Brian Fernández_Portland,Brian Fernández,24,FW-MF,Portland,0.6072386058981233,0.07391304347826087,0.13934426229508196,0.09168081494057725,0.4300168634064081,0.7091836734693877,0.4904109589041096,0.3303249097472924,0.7100840336134454,0.43529411764705883,0.5672947510094213,0.9671581769436998
2019_Sam Nicholson_Colorado,Sam Nicholson,24,FW-MF (WM),Colorado,0.8009383378016086,0.3217391304347826,0.273224043715847,0.5789473684210527,0.10202360876897133,0.6547619047619048,0.915068493150685,0.4395306859205776,0.7411764705882353,0.6932773109243697,0.753028263795424,0.6266756032171582
2019_Alexander Callens_NYCFC,Alexander Callens,26,"DF (CB, left)",NYCFC,0.7211796246648794,0.7286956521739131,0.6980874316939891,0.5110356536502547,0.806070826306914,0.22874149659863946,0.21027397260273972,0.825812274368231,0.18235294117647058,0.1495798319327731,0.24629878869448182,0.2479892761394102
2019_Magnus Eriksson_San Jose,Magnus Eriksson,28,FW-MF,San Jose,0.9524128686327078,0.13043478260869565,0.21584699453551912,0.2071307300509338,0.3954468802698145,0.9540816326530612,0.8835616438356164,0.47833935018050544,0.9823529411764705,0.8302521008403362,0.851278600269179,0.7265415549597856
2019_Jeremiah Gutjahr_Chicago,Jeremiah Gutjahr,21,MF,Chicago,0.306970509383378,0.6330434782608696,0.5389344262295082,0.05602716468590832,0.17622259696458684,0.91921768707483,0.5952054794520548,0.7770758122743683,0.33949579831932775,0.561344537815126,0.797442799461642,0.2479892761394102
2019_Tristan Blackmon_Los Angeles FC,Tristan Blackmon,22,DF,Los Angeles FC,0.5844504021447721,0.7521739130434782,0.6489071038251366,0.7207130730050934,0.924114671163575,0.5459183673469388,0.5027397260273972,0.5731046931407943,0.5134453781512605,0.7210084033613445,0.8896366083445492,0.5837801608579088
2019_Darwin Quintero_Minnesota,Darwin Quintero,31,FW-MF (WM),Minnesota,0.8954423592493298,0.11304347826086956,0.5341530054644809,0.31069609507640067,0.06661045531197302,0.8503401360544217,0.6520547945205479,0.30866425992779783,0.9504201680672268,0.8747899159663866,0.8324360699865411,0.8947721179624665
2019_Wayne Rooney_D.C. United,Wayne Rooney,33,FW-MF (AM),D.C. United,0.8324396782841823,0.2608695652173913,0.10109289617486339,0.059422750424448216,0.23946037099494097,0.8758503401360545,0.684931506849315,0.7527075812274369,0.9647058823529412,0.8907563025210085,0.9004037685060565,0.9061662198391421
2019_Eric Remedi_Atlanta,Eric Remedi,23,MF (DM),Atlanta,0.8324396782841823,0.4443478260869565,0.7240437158469946,0.532258064516129,0.8912310286677909,0.6241496598639455,0.21780821917808219,0.8357400722021661,0.32521008403361346,0.31176470588235294,0.5242261103633916,0.2479892761394102
2019_Ashtone Morgan_Toronto FC,Ashtone Morgan,27,"DF (FB, left)",Toronto FC,0.3424932975871314,0.09478260869565218,0.3907103825136612,0.9830220713073005,0.35328836424957843,0.22874149659863946,0.6452054794520548,0.036101083032490974,0.18739495798319328,0.6647058823529411,0.24629878869448182,0.8277479892761395
2019_Connor Lade_NY Red Bulls,Connor Lade,29,"DF-MF (FB, left)",NY Red Bulls,0.4014745308310992,0.38782608695652177,0.9371584699453552,0.9202037351443124,0.11467116357504216,0.22874149659863946,0.4780821917808219,0.6191335740072202,0.2184873949579832,0.41092436974789914,0.6864064602960969,0.6387399463806971
2019_Kemar Lawrence_NY Red Bulls,Kemar Lawrence,26,"DF (FB, left)",NY Red Bulls,0.6695710455764075,0.7130434782608696,0.6133879781420765,0.7775891341256367,0.1391231028667791,0.22874149659863946,0.7095890410958904,0.8646209386281588,0.2596638655462185,0.1495798319327731,0.24629878869448182,0.5462466487935657
2019_Sam Vines_Colorado,Sam Vines,19,"DF (FB, left)",Colorado,0.7734584450402144,0.41043478260869565,0.4959016393442623,0.6400679117147708,0.43929173693086004,0.22874149659863946,0.626027397260274,0.45216606498194944,0.23109243697478993,0.49159663865546216,0.24629878869448182,0.2479892761394102
2019_Jalil Anibaba_New England,Jalil Anibaba,30,DF (CB),New England,0.6695710455764075,0.851304347826087,0.3087431693989071,0.9558573853989814,0.1905564924114671,0.22874149659863946,0.3136986301369863,0.7770758122743683,0.11260504201680673,0.39243697478991596,0.24629878869448182,0.5462466487935657
2019_Amar Sejdic_Montreal,Amar Sejdic,22,MF,Montreal,0.036193029490616625,0.03217391304347826,0.0389344262295082,0.02631578947368421,0.9426644182124789,0.22874149659863946,0.07876712328767123,0.013537906137184115,0.7285714285714285,0.1495798319327731,0.24629878869448182,0.2479892761394102
